
DISTANCE,activity_id,HEARTRATE,SPEED,STEPS_PER_MINUTE,LATITUDE,repetitions,temperature,INSTANT_TORQUE_CRANK,timestamp_epoch,ELEVATION,POWER,STRIDES,wheel_torque,CALORIEBURN,LONGITUDE,CADENCE,heading,STEP_RATE
8149.30517578125,4,172,3.9279112815856934,0,40.55728530883789,0,0,0,1344639724269,33,0,0,0,247,-74.86686706542969,0,328,0
8153.0693359375,4,173,3.873155355453491,0,40.557315826416016,0,0,0,1344639725254,33,0,0,0,247,-74.86688995361328,0,328,0
8157.0009765625,4,173,3.6450119018554688,0,40.55734634399414,0,0,0,1344639726237,33,0,0,0,247,-74.86691284179688,0,328,0
8161.083984375,4,173,3.563143253326416,0,40.557376861572266,0,0,0,1344639727222,33,0,0,0,247,-74.86693572998047,0,328,0
8165.2890625,4,173,3.7263081073760986,0,40.557411193847656,0,0,0,1344639728207,33,0,0,0,248,-74.8669662475586,0,328,0
8169.8203125,4,172,3.9534144401550293,0,40.55744552612305,0,0,0,1344639729192,33,0,0,0,248,-74.86698913574219,0,328,0
8174.27783203125,4,172,4.0363688468933105,0,40.5574836730957,0,0,0,1344639730177,33,0,0,0,248,-74.86701202392578,0,330,0
8178.16748046875,4,172,3.7787885665893555,0,40.55751419067383,0,0,0,1344639731162,33,0,0,0,248,-74.86703491210938,0,330,0
8181.47607421875,4,172,3.347214460372925,0,40.55754089355469,0,0,0,1344639732147,33,0,0,0,249,-74.86705017089844,0,328,0
8185.17041015625,4,171,3.2133729457855225,0,40.55756759643555,0,0,0,1344639733132,33,0,0,0,249,-74.86708068847656,0,328,0
8189.27880859375,4,171,3.5045766830444336,0,40.55759811401367,0,0,0,1344639734117,33,0,0,0,249,-74.86710357666016,0,328,0
8193.123046875,4,171,3.805677652359009,0,40.5576286315918,0,0,0,1344639735102,34,0,0,0,249,-74.86712646484375,0,328,0
8196.923828125,4,170,3.843437910079956,0,40.55765914916992,0,0,0,1344639736090,34,0,0,0,250,-74.86714935302734,0,330,0
8200.9873046875,4,170,3.8376495838165283,0,40.55768966674805,0,0,0,1344639737076,34,0,0,0,250,-74.86717224121094,0,330,0
8205.3662109375,4,169,3.9128334522247314,0,40.55772399902344,0,0,0,1344639738060,34,0,0,0,250,-74.86720275878906,0,328,0
8209.173828125,4,169,3.9293291568756104,0,40.5577507019043,0,0,0,1344639739046,34,0,0,0,250,-74.86722564697266,0,328,0
8213.765625,4,169,3.8422353267669678,0,40.55778884887695,0,0,0,1344639740030,34,0,0,0,251,-74.86724853515625,0,330,0
8218.2001953125,4,169,3.7737483978271484,0,40.55782699584961,0,0,0,1344639741016,34,0,0,0,251,-74.86727142333984,0,330,0
8222.5146484375,4,168,3.746917247772217,0,40.557861328125,0,0,0,1344639742001,34,0,0,0,251,-74.86729431152344,0,330,0
8226.51171875,4,168,3.7483439445495605,0,40.557891845703125,0,0,0,1344639742986,34,0,0,0,251,-74.86731719970703,0,330,0
8230.69921875,4,168,3.845019578933716,0,40.55792236328125,0,0,0,1344639743971,34,0,0,0,252,-74.86734008789062,0,332,0
8235.4150390625,4,168,4.008531093597412,0,40.557960510253906,0,0,0,1344639744956,35,0,0,0,252,-74.86737060546875,0,330,0
8239.796875,4,168,4.116124153137207,0,40.55799865722656,0,0,0,1344639745941,35,0,0,0,252,-74.86739349365234,0,332,0
8244.341796875,4,168,4.196179389953613,0,40.55803680419922,0,0,0,1344639746926,35,0,0,0,252,-74.8674087524414,0,334,0
8249.01953125,4,168,4.295559406280518,0,40.558074951171875,0,0,0,1344639747914,35,0,0,0,253,-74.867431640625,0,336,0
8253.4775390625,4,168,4.302170276641846,0,40.55811309814453,0,0,0,1344639748896,35,0,0,0,253,-74.86744689941406,0,338,0
8258.2275390625,4,168,4.270683765411377,0,40.55815505981445,0,0,0,1344639749881,36,0,0,0,253,-74.86746215820312,0,340,0
8262.2578125,4,168,4.2329607009887695,0,40.558189392089844,0,0,0,1344639750866,36,0,0,0,253,-74.86746978759766,0,344,0
8266.470703125,4,168,4.175628185272217,0,40.5582275390625,0,0,0,1344639751848,36,0,0,0,254,-74.86747741699219,0,350,0
